#Date;Time;[CPU]User%;[CPU]Nice%;[CPU]Sys%;[CPU]Wait%;[CPU]Irq%;[CPU]Soft%;[CPU]Steal%;[CPU]Idle%;[CPU]Totl%;[CPU]Guest%;[CPU]GuestN%;[CPU]Intrpt/sec;[CPU]Ctx/sec;[CPU]Proc/sec;[CPU]ProcQue;[CPU]ProcRun;[CPU]L-Avg1;[CPU]L-Avg5;[CPU]L-Avg15;[CPU]RunTot;[CPU]BlkTot;[MEM]Tot;[MEM]Used;[MEM]Free;[MEM]Shared;[MEM]Buf;[MEM]Cached;[MEM]Slab;[MEM]Map;[MEM]Anon;[MEM]AnonH;[MEM]Commit;[MEM]Locked;[MEM]SwapTot;[MEM]SwapUsed;[MEM]SwapFree;[MEM]SwapIn;[MEM]SwapOut;[MEM]Dirty;[MEM]Clean;[MEM]Laundry;[MEM]Inactive;[MEM]PageIn;[MEM]PageOut;[MEM]PageFaults;[MEM]PageMajFaults;[MEM]HugeTotal;[MEM]HugeFree;[MEM]HugeRsvd;[MEM]SUnreclaim;[NET]RxPktTot;[NET]TxPktTot;[NET]RxKBTot;[NET]TxKBTot;[NET]RxCmpTot;[NET]RxMltTot;[NET]TxCmpTot;[NET]RxErrsTot;[NET]TxErrsTot;[DSK]ReadTot;[DSK]WriteTot;[DSK]OpsTot;[DSK]ReadKBTot;[DSK]WriteKBTot;[DSK]KbTot;[DSK]ReadMrgTot;[DSK]WriteMrgTot;[DSK]MrgTot;[NFS]ReadsS;[NFS]WritesS;[NFS]MetaS;[NFS]CommitS;[NFS]Udp;[NFS]Tcp;[NFS]TcpConn;[NFS]BadAuth;[NFS]BadClient;[NFS]ReadsC;[NFS]WritesC;[NFS]MetaC;[NFS]CommitC;[NFS]Retrans;[NFS]AuthRef
20251011;12:53:34;87;0;1;0;0;0;0;12;88;0;0;7040;615;0;670;9;390;113;40;9;0;15995824;7033388;8962436;0;80048;1265976;241512;352696;5233988;32768;9357048;16;2097148;1536;2095612;0;0;460;0;0;496824;0;0;17742;0;0;0;0;171484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:35;82;0;6;0;0;0;0;12;88;0;0;7079;756;1;670;9;431;126;44;9;0;15995824;3608124;12387700;0;80048;1267256;241512;352696;1761212;32768;9358460;16;2097148;1536;2095612;0;0;460;0;0;496824;0;172;10979;0;0;0;0;171484;0;0;0;0;0;0;0;0;0;0;6;6;0;172;172;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:36;87;0;1;0;0;0;0;12;88;0;0;7032;611;0;670;9;431;126;44;9;0;15995824;3632544;12363280;0;80048;1267256;241512;352696;1835828;32768;9358460;16;2097148;1536;2095612;0;0;232;0;0;496824;0;56;18640;0;0;0;0;171484;0;0;0;0;0;0;0;0;0;0;2;2;0;56;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:37;87;0;1;0;0;0;0;12;88;0;0;7177;900;6;670;9;431;126;44;9;0;15995824;3697056;12298768;0;80048;1265976;241512;352952;1900548;32768;9357180;16;2097148;1536;2095612;0;0;232;0;0;496824;0;0;17045;0;0;0;0;171484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:38;87;0;1;0;0;0;0;12;88;0;0;7055;617;0;670;9;431;126;44;9;0;15995824;3781476;12214348;0;80056;1265976;241512;352696;1985896;32768;9357180;16;2097148;1536;2095612;0;0;88;0;0;496832;0;224;21407;0;0;0;0;171484;0;0;0;0;0;0;0;0;0;0;22;22;0;224;224;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:39;87;0;1;0;0;0;0;13;87;0;0;7035;638;0;670;9;431;126;44;9;0;15995824;3861612;12134212;0;80056;1265976;241512;352696;2065820;32768;9357180;16;2097148;1536;2095612;0;0;84;0;0;496832;0;4;19883;0;0;0;0;171484;0;0;0;0;0;0;0;0;0;0;1;1;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:40;87;0;1;0;0;0;0;12;88;0;0;7041;624;0;670;10;468;139;49;10;0;15995824;3926124;12069700;0;80056;1265976;241512;352696;2139820;32768;9357180;16;2097148;1536;2095612;0;0;84;0;0;496832;0;0;18530;0;0;0;0;171484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:41;87;0;1;0;0;0;0;12;88;0;0;7039;631;0;670;9;468;139;49;9;0;15995824;3995848;11999976;0;80056;1265976;241516;352696;2209624;32768;9357180;16;2097148;1536;2095612;0;0;84;0;0;496832;0;76;17474;0;0;0;0;171484;0;0;0;0;0;0;0;0;0;0;18;18;0;76;76;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:42;86;0;1;0;0;0;0;12;88;0;0;7165;965;6;670;9;468;139;49;9;0;15995824;4105816;11890008;0;80056;1265976;241520;353008;2321212;32768;9357116;16;2097148;1536;2095612;0;0;0;0;0;496832;0;0;28841;0;0;0;0;171484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20251011;12:53:43;87;0;1;0;0;0;0;12;88;0;0;7087;670;0;670;10;468;139;49;10;0;15995824;4200224;11795600;0;80064;1265968;241520;352696;2412484;38912;9357116;16;2097148;1536;2095612;0;0;0;0;0;496832;0;16;22736;0;0;0;0;171484;0;0;0;0;0;0;0;0;0;0;2;2;0;16;16;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
